사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
Jun-21,1호선,1,서울역,981045 ,929270 ,167818 ,158386 
Jun-21,1호선,10,동묘앞,122567 ,130984 ,140198 ,141067 
Jun-21,1호선,2,시청,471693 ,484053 ,62086 ,61689 
Jun-21,1호선,3,종각,771110 ,752458 ,111805 ,105694 
Jun-21,1호선,4,종로3가,427162 ,383856 ,257671 ,241239 
Jun-21,1호선,5,종로5가,358583 ,366760 ,239486 ,230509 
Jun-21,1호선,6,동대문,209710 ,199031 ,110748 ,110030 
Jun-21,1호선,7,신설동,265865 ,260735 ,103350 ,99401 
Jun-21,1호선,8,제기동,224878 ,218527 ,234585 ,252064 
Jun-21,1호선,9,청량리(서울시립대입구),317436 ,314995 ,236089 ,240160 
Jun-21,2호선,11,시청,520199 ,497354 ,44316 ,38909 
Jun-21,2호선,12,을지로입구,894301 ,918893 ,83065 ,77876 
Jun-21,2호선,13,을지로3가,494091 ,491265 ,65682 ,64130 
Jun-21,2호선,14,을지로4가,251401 ,251342 ,76046 ,73938 
Jun-21,2호선,15,동대문역사문화공원(DDP),272297 ,305854 ,48737 ,51270 
Jun-21,2호선,16,신당,285680 ,296679 ,84802 ,86888 
Jun-21,2호선,17,상왕십리,318775 ,306583 ,60936 ,61456 
Jun-21,2호선,18,왕십리(성동구청),387332 ,314709 ,46042 ,38977 
Jun-21,2호선,19,한양대,197367 ,212541 ,10968 ,11330 
Jun-21,2호선,20,뚝섬,543670 ,587881 ,52617 ,52993 
Jun-21,2호선,21,성수,813760 ,904159 ,92581 ,94416 
Jun-21,2호선,22,건대입구,869879 ,937545 ,78457 ,82089 
Jun-21,2호선,23,구의(광진구청),530339 ,519204 ,88955 ,91179 
Jun-21,2호선,24,강변(동서울터미널),738821 ,723989 ,99640 ,97294 
Jun-21,2호선,25,잠실나루,304218 ,293908 ,70836 ,70911 
Jun-21,2호선,26,잠실(송파구청),1661499 ,1650343 ,155822 ,149203 
Jun-21,2호선,27,잠실새내,471649 ,476178 ,86442 ,86182 
Jun-21,2호선,28,종합운동장,186661 ,201188 ,36104 ,37856 
Jun-21,2호선,29,삼성(무역센터),1233267 ,1259976 ,95905 ,88737 
Jun-21,2호선,30,선릉,1204673 ,1074191 ,189758 ,169124 
Jun-21,2호선,31,역삼,1120925 ,1259883 ,131839 ,133212 
Jun-21,2호선,32,강남,2058680 ,2036873 ,151157 ,134365 
Jun-21,2호선,33,교대(법원.검찰청),735714 ,830654 ,126797 ,141422 
Jun-21,2호선,34,서초,498821 ,481072 ,65490 ,65145 
Jun-21,2호선,35,방배,377457 ,401276 ,63564 ,62851 
Jun-21,2호선,36,사당,823626 ,919950 ,148403 ,143243 
Jun-21,2호선,37,낙성대(강감찬),648621 ,620865 ,91725 ,94545 
Jun-21,2호선,38,서울대입구(관악구청),1120782 ,1106023 ,158924 ,152541 
Jun-21,2호선,39,봉천,523667 ,476773 ,124700 ,123647 
Jun-21,2호선,40,신림,1505230 ,1450980 ,193182 ,195721 
Jun-21,2호선,41,신대방,606134 ,582967 ,111274 ,112297 
Jun-21,2호선,42,구로디지털단지,1441352 ,1436292 ,146039 ,148479 
Jun-21,2호선,43,대림(구로구청),564215 ,577730 ,103004 ,106719 
Jun-21,2호선,44,신도림,1160242 ,1149293 ,168261 ,159929 
Jun-21,2호선,45,문래,487177 ,505234 ,67670 ,66895 
